z,ra,dec
  0.072148,190.11749,4.089871
  0.072169,227.40755,0.80700436
  0.072170,177.80729,6.7895812
  0.072174,157.94081,1.6966763
  0.072198,196.65046,9.3162061
  0.072210,159.19966,6.053633
  0.072213,39.829746,0.24839716
  0.072242,163.72894,9.1366939
  0.072267,4.0066477,0.18007574
  0.072270,232.56069,8.1359014
  0.072271,143.05063,3.4106976
  0.072300,203.46303,9.9418089
  0.072307,189.88288,-0.38606642
  0.072311,132.05863,3.7249437
  0.072328,142.77579,0.45626698
  0.072386,160.84105,2.3108365
  0.072402,351.07776,0.07115074
  0.072410,186.06017,-3.5158702
  0.072442,166.98261,-0.6447795
  0.072455,168.57578,2.5280512
  0.072470,206.07856,2.540882
  0.072476,245.45403,7.1540224
  0.072476,191.10838,1.1963565
  0.072529,8.1154448,-0.92409528
  0.072558,142.85842,1.6991524
  0.072565,39.679117,-7.2879297
  0.072585,157.24597,3.1243437
  0.072591,179.06294,4.9678654
  0.072610,139.5702,4.9031391
  0.072620,122.35741,5.9946009
  0.072622,337.76888,-7.7799134
  0.072625,198.81151,6.1732322
  0.072626,224.00938,5.2668149
  0.072628,217.04584,-0.72218784
  0.072639,156.13676,3.0303898
  0.072656,38.396323,0.96228945
  0.072684,206.13104,2.628443
  0.072692,170.51594,0.94807265
  0.072699,39.950081,-9.0051263
  0.072705,187.04757,-0.63603479
  0.072713,157.26276,3.1416444
  0.072714,197.52035,-0.12596406
  0.072734,220.34349,1.9266379
  0.072739,170.73586,1.1322995
  0.072757,185.12047,-0.68814648
  0.072760,163.70548,9.1845002
  0.072767,189.9664,6.0259606
  0.072769,134.6517,1.166299
  0.072770,158.83151,6.8975529
  0.072778,162.00167,4.9289795
  0.072813,231.84625,1.3941052
  0.072816,143.97234,2.4084127
  0.072819,337.14376,-8.8064372
  0.072824,36.95435,-1.1763967
  0.072831,155.63248,2.3608046
  0.072840,190.20113,3.7183396
  0.072845,9.1898249,0.24456267
  0.072871,172.40467,5.3062395
  0.072884,155.17302,2.1212053
  0.072895,172.33049,1.6514812
  0.072913,185.85466,8.3637842
  0.072914,177.90137,6.3074863
  0.072930,171.72077,9.6167838
  0.072936,212.43301,-1.5728856
  0.072940,206.57728,-1.3589573
  0.072952,175.14715,6.4704895
  0.072959,55.215024,-6.3717997
  0.072976,159.36522,2.0894204
  0.072977,198.1093,0.98440872
  0.073010,195.74784,3.2356432
  0.073018,189.69328,6.2614723
  0.073025,2.3446597,-0.69210435
  0.073026,337.0542,-8.8728363
  0.073060,186.03609,7.3268625
  0.073061,177.53277,5.6898398
  0.073079,148.26592,2.5974308
  0.073083,184.7119,5.2633009
  0.073083,197.86795,5.8195098
  0.073087,144.94178,3.4382076
  0.073087,134.49178,1.1985296
  0.073087,227.523,1.2220468
  0.073089,179.221,5.2679775
  0.073092,168.8049,2.4035801
  0.073105,177.52397,6.2431022
  0.073105,24.66663,-9.2746926
  0.073114,123.61364,6.5976287
  0.073138,184.03134,0.65633196
  0.076053,183.67711,5.4708133
  0.076054,167.54881,5.2426347
  0.076056,141.30231,5.3517335
  0.076056,131.65684,3.705528
  0.076056,197.23354,-3.196071
  0.076058,227.31608,7.6543045
  0.076059,125.02685,9.2275614
  0.076061,175.6931,2.3361202
  0.076067,227.14889,5.1563606
  0.076068,329.252,-8.0535533
  0.076070,230.95055,1.2317804
  0.076076,232.30458,3.1001056
  0.076077,232.4199,7.5950883
  0.076079,339.88872,0.41086079
  0.076083,180.50344,4.8785918
  0.076086,145.17981,6.5706307
  0.076094,142.82393,8.7845504
  0.076106,184.58174,4.9350637
  0.076113,227.4125,7.9250992
  0.076120,216.93683,3.7477976
  0.076130,206.92756,-1.6473627
  0.076141,185.07683,3.0092254
  0.076144,182.57006,5.3860325
  0.076155,230.67764,9.6878715
  0.076161,10.727859,-9.2304352
  0.076191,169.12348,-0.91112235
  0.076191,232.35814,1.3982578
  0.076205,229.69537,7.5256962
  0.076208,231.13764,0.98342855
  0.076212,20.13132,0.84040795
  0.076228,10.75262,-9.2295613
  0.076230,167.68703,4.8761343
  0.076231,329.21304,-7.9637187
  0.076235,62.241284,-5.6334052
  0.076235,141.78117,6.5093099
  0.076240,247.63982,9.1856948
  0.076253,174.94408,1.4774914
  0.076263,184.26521,3.2670053
  0.076269,185.43294,2.5670298
  0.076274,177.78795,5.0428584
  0.076283,155.34666,3.1486342
  0.076292,178.51996,5.1579713
  0.076292,41.66815,0.55991475
  0.076293,186.4977,6.762932
  0.076294,153.09696,6.4289451
  0.076296,143.23187,5.1554691
  0.076305,143.07055,9.6835857
  0.076308,169.01877,2.4963009
  0.076311,177.61455,4.9400885
  0.076313,177.71361,6.6404779
  0.076314,227.27669,5.1278298
  0.076318,185.31323,5.5170865
  0.076323,184.44654,3.6642716
  0.076327,206.20567,1.4098798
  0.076333,227.88535,6.0898497
  0.076333,7.4950261,-9.5450431
  0.076341,174.66459,1.2647839
  0.076358,358.96418,-9.5306831
  0.076362,206.3457,-0.92237236
  0.076364,173.92666,1.3265318
  0.076366,205.68582,1.4384957
  0.076368,184.71064,5.4840931
  0.076370,185.80813,3.4085637
  0.076377,152.67441,6.3429412
  0.076383,358.14592,-9.5249248
  0.076389,179.59746,0.55189075
  0.076394,167.06847,5.6699833
  0.076395,131.3448,2.5239573
  0.076396,227.39536,6.2525467
  0.076400,226.54856,6.5471888
  0.076406,184.77527,4.8346721
  0.076407,205.34381,2.6334945
  0.076424,207.78251,5.0994497
  0.076429,342.44307,-8.2727517
  0.076435,190.68069,4.4647522
  0.076438,179.32536,2.8318761
  0.076445,227.53919,5.5724057
  0.076460,177.69509,-3.1927297
  0.076467,228.84529,3.890777
  0.076473,220.82817,2.2491796
  0.076476,206.84053,-1.9714582
  0.076487,230.38655,7.1371175
  0.076503,185.93861,1.8901249
  0.076504,180.22631,2.6416829
  0.076506,177.32479,2.6938954
  0.076507,202.75879,8.2421594
  0.076508,131.38247,2.4758738
  0.076525,227.69372,5.1147371
  0.076546,153.08019,6.2718579
  0.076548,344.34612,-8.3523395
  0.076549,230.0047,2.4023977
  0.076554,228.52167,-1.7037141
  0.076558,131.67003,2.6330929
  0.076564,227.16112,7.544827
  0.076571,312.83165,0.79199069
  0.076571,194.4786,8.7574949
  0.076586,230.98851,6.949832
  0.076595,227.94883,6.1255149
  0.076598,179.49952,0.14509488
  0.076605,182.59667,5.3507852
  0.076614,230.41509,0.26642097
  0.076614,221.83666,-1.0016948
  0.076622,341.55742,-7.9898036
  0.076630,183.30073,-2.0817773
  0.076637,227.95568,6.3659155
  0.076637,225.78607,8.9957232
  0.076638,143.11388,9.5718671
  0.076639,189.68463,1.8263205
  0.076640,152.09441,9.4510528
  0.076644,231.46154,8.3954267
  0.076646,230.97938,1.0636715
  0.076653,227.55057,6.1192937
  0.076657,167.09833,5.6188237
  0.076665,181.9923,3.8774195
  0.076670,18.068646,-1.1499217
  0.076673,227.66637,5.6552798
  0.076674,170.62392,9.7539942
  0.076678,169.6486,2.0229111
  0.076680,230.6069,9.1744026
  0.076709,231.16838,1.0015291
  0.076713,205.45888,0.34505934
  0.076716,359.83961,0.45859355
  0.076719,183.49704,3.4532619
  0.076726,227.74248,4.813416
  0.076728,198.79763,4.0983407
  0.076729,232.63874,-0.80929351
  0.076732,212.02463,0.74924201
  0.076738,228.03913,5.5034985
  0.076741,184.91362,3.064237
  0.076749,205.62321,2.5064505
  0.076751,131.58142,3.5983002
  0.076753,184.57513,3.7315875
  0.076758,232.22726,1.4644649
  0.076768,19.449815,-0.41104917
  0.076773,321.36945,9.7400784
  0.076773,322.98054,-8.5428648
  0.076780,233.53946,7.3568803
  0.076784,46.627315,0.12025643
  0.076785,185.48034,8.1473011
  0.076788,19.968833,-0.16100634
  0.076796,0.69781212,-9.8160678
  0.076800,142.6191,9.7973452
  0.076804,227.33293,9.1913724
  0.076805,205.73518,2.35794
  0.076819,184.86724,3.067568
  0.076830,131.66984,3.7578421
  0.076836,134.44337,4.6108786
  0.076838,186.63583,3.7150664
  0.076841,174.66403,-1.5372032
  0.076843,183.10187,5.0833642
  0.076844,183.92068,3.4027148
  0.076844,205.66781,2.8988448
  0.076846,231.26071,7.6940497
  0.076848,161.68047,0.37563871
  0.076848,230.91299,8.1671264
  0.076849,175.6347,9.0915847
  0.076865,168.9631,3.2823624
  0.076876,176.10838,-1.9571077
  0.076878,232.30205,5.9692389
  0.076880,230.34372,7.2575997
  0.076892,31.325794,0.23137584
  0.076893,184.20818,1.9120718
  0.076895,184.47235,3.6945491
  0.076899,206.21704,2.6486367
  0.076899,359.37478,-9.6948043
  0.076902,358.81121,-9.1395535
  0.076905,227.15583,6.188296
  0.076912,227.81127,3.4987583
  0.076915,134.27108,5.3581421
  0.076922,177.73559,-3.1647616
  0.076922,209.24082,5.6439314
  0.076928,143.26969,9.2600814
  0.076931,178.48078,-1.4666622
  0.076968,177.12036,2.5605335
  0.076990,44.840348,-7.3076196
  0.076992,179.38587,5.0476104
  0.076996,180.56787,5.2676077
  0.076999,27.135713,-8.3741814
  0.077002,154.03415,3.0525259
  0.077020,155.33993,3.1394502
  0.077026,179.27646,-0.97721155
  0.077045,174.54892,-1.7128074
  0.077050,161.45921,0.45962498
  0.077052,206.7827,4.1322114
  0.077058,219.00148,-2.836704
  0.077060,205.74774,2.5402464
  0.077067,167.74522,2.5988553
  0.077068,144.34709,3.5341966
  0.077071,234.76752,2.5249073
  0.077073,183.887,3.8821928
  0.077074,185.01199,0.88246937
  0.077075,135.7467,6.32909
  0.077085,175.05143,-1.3465933
  0.077088,176.53563,-2.0348008
  0.077095,169.20523,0.27847924
  0.077096,207.31663,5.1913734
  0.077103,187.24602,4.660369
  0.077105,184.80756,5.3283758
  0.077111,9.8883913,0.59740896
  0.077120,326.01979,0.45527901
